2023-07-21 06:56:39,654-INFO-Exception : n9ZnfBHhdnt11vZ - ORA-06550: line 1, column 7:
PLS-00221: 'SLT_CUST_FEATURE_UPD_API' is not a procedure or is undefined
ORA-06550: line 1, column 7:
2023-07-26 12:18:38,456-INFO-Revenue : p0Fp3wfOWdOmiBa @2 Service feature value 'N' updated Scucessfully for this BB Number
2023-09-05 10:26:50,716-INFO-DB conn : 2xvFPvddIYtXUbE - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-09-05 10:26:50,726-INFO-Cursor conn : 2xvFPvddIYtXUbE @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-09-05 10:26:50,850-INFO-Revenue : 2xvFPvddIYtXUbE @2 Service feature value 'Y' updated Scucessfully for this BB Number
2023-09-07 11:04:41,364-INFO-DB conn : uDaxJ7P84jpN8f9 - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-09-07 11:04:41,364-INFO-Cursor conn : uDaxJ7P84jpN8f9 @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-09-07 11:04:41,465-INFO-Revenue : uDaxJ7P84jpN8f9 @2 Service feature value 'Y' updated Scucessfully for this BB Number
2023-09-07 11:05:12,607-INFO-DB conn : VJpw6PcYxTsSFun - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-09-07 11:05:12,607-INFO-Cursor conn : VJpw6PcYxTsSFun @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-09-07 11:05:12,609-INFO-Revenue : VJpw6PcYxTsSFun @2 No Data Found for this BB Number
2023-09-07 11:05:51,148-INFO-DB conn : gaSKGDASS2LgL38 - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-09-07 11:05:51,149-INFO-Cursor conn : gaSKGDASS2LgL38 @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-09-07 11:05:51,151-INFO-Revenue : gaSKGDASS2LgL38 @2 No Data Found for this BB Number
2023-09-07 11:06:04,610-INFO-DB conn : ngpX8IZJ9MsruD3 - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-09-07 11:06:04,610-INFO-Cursor conn : ngpX8IZJ9MsruD3 @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-09-07 11:06:04,624-INFO-Revenue : ngpX8IZJ9MsruD3 @2 Service feature value 'Y' updated Scucessfully for this BB Number
2023-09-07 11:06:12,569-INFO-DB conn : FvxSGgkK77pw6FL - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-09-07 11:06:12,569-INFO-Cursor conn : FvxSGgkK77pw6FL @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-09-07 11:06:12,571-INFO-Revenue : FvxSGgkK77pw6FL @2 No Data Found for this BB Number
2023-09-07 11:08:18,680-INFO-DB conn : fysf7zOm22xmQBM - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-09-07 11:08:18,680-INFO-Cursor conn : fysf7zOm22xmQBM @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-09-07 11:08:18,714-INFO-Revenue : fysf7zOm22xmQBM @2 Service feature value 'N' updated Scucessfully for this BB Number
2023-09-07 11:15:10,953-INFO-DB conn : oCrbapTcikQoQ4q - <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>
2023-09-07 11:15:10,954-INFO-Cursor conn : oCrbapTcikQoQ4q @1 <cx_Oracle.Cursor on <cx_Oracle.Connection to CLTY_API@(DESCRIPTION=(ADDRESS=(PROTOCOL=TCP)(HOST=172.25.1.172)(PORT=1521))(CONNECT_DATA=(SERVICE_NAME=clty)))>>
2023-09-07 11:15:11,003-INFO-Revenue : oCrbapTcikQoQ4q @2 Service feature value 'Y' updated Scucessfully for this BB Number
